Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;
1969;    12.23;    12.23;     4.85;     5.15;     6.41;     6.20;     6.28;     6.31;     5.90;     5.54;     4.04;     4.21;     8.69;    11.33;     8.91;     5.75;
1970;     4.29;     4.29;     2.01;     1.53;     1.94;     1.27;     1.76;     1.76;     1.32;     1.58;     0.42;     0.69;     4.17;     2.88;     2.39;     1.74;
1971;    14.28;    14.24;     8.74;     7.75;     6.21;     4.84;     3.43;     3.41;     3.10;     6.32;     0.64;     6.17;    12.41;    10.44;     9.15;     7.47;
1972;     9.30;     9.29;     3.39;     4.99;     4.36;     1.96;     3.95;     3.94;     3.85;     3.96;     1.28;     3.20;     8.36;     6.37;     5.42;     4.17;
1973;     8.19;     8.18;     5.49;     3.75;     7.30;     4.70;     5.07;     5.08;     7.02;     9.74;     2.88;     9.88;     5.82;     7.62;     6.33;     4.65;
1974;     4.08;     4.06;     3.21;     3.35;     2.59;     1.95;     1.34;     1.34;     1.92;     2.52;     0.45;     2.02;     4.28;     4.01;     3.63;     3.14;
1975;    11.19;    11.17;     4.41;     2.31;     7.29;     6.35;     8.78;     8.78;     8.67;     7.42;     6.29;     7.86;     6.69;    10.38;     8.07;     5.06;
1976;    10.44;    10.46;    11.51;     9.10;    14.44;     4.53;     8.02;     8.03;    14.20;    18.33;     4.80;    19.34;     8.02;    10.25;     9.49;     8.49;
1977;     2.15;     2.13;     1.49;     1.32;     1.19;     0.61;     0.74;     0.74;     0.82;     1.22;     0.03;     1.32;     1.92;     2.10;     1.80;     1.40;
1978;     4.65;     4.60;     1.20;     0.59;     1.57;     1.62;     1.98;     1.97;     2.13;     1.53;     0.99;     0.91;     3.00;     3.91;     2.92;     1.62;
1979;     5.02;     4.98;     2.13;     1.87;     1.82;     2.01;     1.46;     1.46;     1.35;     1.88;     0.77;     1.14;     4.06;     4.31;     3.48;     2.39;
1980;     1.62;     1.61;     2.05;     2.16;     1.01;     0.37;     0.58;     0.57;     1.46;     1.21;     0.02;     0.86;     2.09;     1.97;     1.88;     1.76;
1981;     3.38;     3.34;     2.23;     1.62;     2.16;     0.99;     2.22;     2.21;     2.94;     2.63;     0.47;     1.61;     2.84;     3.17;     2.52;     1.67;
1982;    11.59;    11.51;     4.13;     4.82;     6.24;     6.33;     7.52;     7.55;     6.64;     7.46;     5.04;     5.66;     6.27;     8.91;     7.26;     5.10;
1983;    11.50;    11.48;    12.75;    11.02;    10.09;     3.88;     8.74;     8.72;     9.45;    12.16;     4.92;    13.77;     9.72;    11.99;    10.25;     7.97;
1984;     4.14;     4.11;     4.70;     3.07;     3.85;     1.46;     2.18;     2.16;     4.10;     4.59;     0.31;     5.27;     3.94;     3.66;     3.38;     3.01;
1985;     3.05;     3.00;     4.37;     3.59;     1.78;     0.74;     2.01;     2.00;     2.33;     2.33;     0.49;     2.72;     2.80;     2.86;     2.51;     2.05;
1986;     7.79;     7.73;     3.74;     3.03;     4.14;     3.27;     4.56;     4.55;     4.44;     3.97;     1.55;     3.40;     5.33;     7.11;     5.66;     3.77;
1987;     1.81;     1.79;     2.78;     1.39;     1.53;     0.91;     1.25;     1.24;     2.27;     2.11;     0.15;     2.07;     1.78;     1.77;     1.63;     1.45;
1988;     2.41;     2.42;     3.44;     3.18;     2.16;     0.22;     0.32;     0.31;     0.98;     2.13;     0.02;     1.15;     4.57;     2.80;     2.65;     2.45;
1989;     9.25;     9.22;     4.55;     2.70;     4.46;     4.98;     3.70;     3.66;     5.09;     5.04;     1.40;     6.03;     5.95;     7.69;     6.13;     4.09;
1990;     6.60;     6.57;     7.34;     5.07;     7.67;     2.35;     4.57;     4.54;     6.57;     9.20;     1.84;     9.74;     7.35;     7.71;     6.94;     5.93;
1991;     7.15;     7.13;     7.23;     4.54;     6.82;     2.78;     3.41;     3.39;     5.33;     8.54;     1.09;     8.68;     5.80;     6.48;     5.78;     4.87;
1992;    15.28;    15.29;    11.86;    11.28;     7.79;     8.08;     6.12;     6.08;     6.88;     8.98;     3.46;     8.72;    12.24;    12.60;    10.67;     8.14;
1993;     2.16;     2.16;     3.63;     2.99;     2.73;     0.14;     0.24;     0.23;     0.89;     3.14;     0.01;     1.61;     2.18;     1.62;     1.52;     1.38;
1994;    20.77;    20.75;    12.41;    16.99;    16.41;    13.84;    15.83;    15.84;    16.24;    15.82;    11.36;    17.47;    18.56;    19.84;    18.11;    15.86;
1995;    15.50;    15.43;     9.05;     7.74;    10.85;     7.18;    11.46;    11.45;    12.99;    12.29;     6.97;    11.64;    10.01;    15.93;    12.52;     8.06;
1996;     3.54;     3.53;     2.69;     2.47;     2.78;     2.53;     3.55;     3.56;     3.16;     3.39;     3.05;     2.71;     2.44;     4.19;     3.47;     2.52;
1997;     9.47;     9.41;     3.91;     2.05;     5.37;     5.99;     6.04;     6.05;     5.37;     5.86;     5.07;     6.56;     4.76;     8.65;     6.50;     3.70;
1998;     6.43;     6.40;    11.21;     9.55;     8.34;     1.34;     4.31;     4.26;     6.51;     9.70;     0.78;     9.56;     6.75;     7.52;     7.23;     6.84;
1999;     7.20;     7.15;     5.02;     3.57;     5.15;     3.66;     6.55;     6.52;     7.34;     6.49;     2.28;     4.30;     3.15;     6.85;     5.44;     3.59;
2000;     9.45;     9.44;     5.64;     6.15;     4.90;     4.63;     4.17;     4.17;     4.36;     3.78;     3.27;     2.44;     9.05;     7.40;     6.46;     5.24;
2001;     9.18;     9.12;     9.38;     7.78;     9.26;     4.14;     4.99;     4.95;     7.35;    10.13;     2.08;     8.62;     6.30;     9.19;     8.40;     7.36;
2002;     7.91;     7.91;     6.12;     6.21;     5.61;     5.23;     6.14;     6.13;     6.14;     5.92;     3.68;     6.15;     7.00;     7.89;     7.01;     5.87;
